STATE,XX,REPS
Alabama,AL,7
Alaska,AK,1
Arizona,AZ,6
Arkansas,AR,4
California,CA,52
Colorado,CO,6
Connecticut,CT,6
Delaware,DE,1
Florida,FL,23
Georgia,GA,11
Hawaii,HI,2
Idaho,ID,2
Illinois,IL,20
Indiana,IN,10
Iowa,IA,5
Kansas,KS,4
Kentucky,KY,6
Louisiana,LA,7
Maine,ME,2
Maryland,MD,8
Massachusetts,MA,10
Michigan,MI,16
Minnesota,MN,8
Mississippi,MS,5
Missouri,MO,9
Montana,MT,1
Nebraska,NE,3
Nevada,NV,2
New Hampshire,NH,2
New Jersey,NJ,13
New Mexico,NM,3
New York,NY,31
North Carolina,NC,12
North Dakota,ND,1
Ohio,OH,19
Oklahoma,OK,6
Oregon,OR,5
Pennsylvania,PA,21
Rhode Island,RI,2
South Carolina,SC,6
South Dakota,SD,1
Tennessee,TN,9
Texas,TX,30
Utah,UT,3
Vermont,VT,1
Virginia,VA,11
Washington,WA,9
West Virginia,WV,3
Wisconsin,WI,9
Wyoming,WY,1
