HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT
51,21099536,CA,2
52,12759392,NY,2
53,12181823,CA,3
54,12063104,TX,2
55,9194765,FL,2
56,8613850,CA,4
57,8432043,PA,2
58,8108169,IL,2
59,7698501,OH,2
60,7366638,NY,3
61,6964636,TX,3
62,6672259,CA,5
63,6596446,MI,2
64,5479112,NJ,2
65,5447877,CA,6
66,5308600,FL,3
67,5209000,NY,4
68,4924742,TX,4
69,4868242,PA,3
70,4707655,NC,2
71,4681253,IL,3
72,4604296,CA,7
73,4602147,GA,2
74,4444732,OH,3
75,4395777,VA,2
76,4263183,MA,2
77,4034874,NY,5
78,3987438,CA,8
79,3934503,IN,2
80,3814688,TX,5
81,3808460,MI,3
82,3753747,FL,4
83,3632976,MO,2
84,3516589,CA,9
85,3469593,WI,2
86,3462448,TN,2
87,3456296,WA,2
88,3442367,PA,4
89,3393138,MD,2
90,3310146,IL,4
91,3294461,NY,6
92,3163367,NJ,3
93,3145333,CA,10
94,3142900,OH,4
95,3114680,TX,6
96,3102098,MN,2
97,2996871,LA,2
98,2907640,FL,5
99,2872698,AL,2
100,2845061,CA,11
101,2784328,NY,7
102,2717966,NC,3
103,2692988,MI,4
104,2666446,PA,5
105,2657051,GA,3
106,2632385,TX,7
107,2615566,KY,2
108,2600728,AZ,2
109,2597173,CA,12
110,2564028,IL,5
111,2537903,VA,3
112,2478909,SC,2
113,2461350,MA,3
114,2434480,OH,5
115,2411298,NY,8
116,2389052,CA,13
117,2374078,FL,6
118,2339047,CO,2
119,2330390,CT,2
120,2279712,TX,8
121,2271587,IN,3
122,2236838,NJ,4
123,2232763,OK,2
124,2211832,CA,14
125,2177144,PA,6
126,2126565,NY,9
127,2097500,MO,3
128,2093520,IL,6
129,2085980,MI,5
130,2059104,CA,15
131,2017894,OR,2
132,2010517,TX,9
133,2006462,FL,7
134,2003170,WI,3
135,1999045,TN,3
136,1995494,WA,3
137,1987744,OH,6
138,1971006,IA,2
139,1959029,MD,3
140,1926115,CA,16
141,1921892,NC,4
142,1902058,NY,10
143,1878819,GA,4
144,1840023,PA,7
145,1828891,MS,2
146,1809270,CA,17
147,1798261,TX,10
148,1794569,VA,4
149,1790997,MN,3
150,1769347,IL,7
151,1757585,KS,2
152,1740437,MA,4
153,1737647,FL,8
154,1732647,NJ,5
155,1730244,LA,3
156,1720476,NY,11
157,1705796,CA,18
158,1703195,MI,6
159,1679951,OH,7
160,1670355,AR,2
161,1658553,AL,3
162,1626589,TX,11
163,1613522,CA,19
164,1606254,IN,4
165,1593506,PA,8
166,1570573,NY,12
167,1532461,FL,9
168,1532300,IL,8
169,1530721,CA,20
170,1510098,KY,3
171,1501531,AZ,3
172,1488691,NC,5
173,1484865,TX,12
174,1483156,MO,4
175,1456006,CA,21
176,1455327,GA,5
177,1454880,OH,8
178,1444717,NY,13
179,1439463,MI,7
180,1431199,SC,3
181,1416455,WI,4
182,1414701,NJ,6
183,1413538,TN,4
184,1411027,WA,4
185,1405341,PA,9
186,1390067,VA,5
187,1388248,CA,22
188,1385243,MD,4
189,1370675,FL,10
190,1365878,TX,13
191,1351361,IL,9
192,1350449,CO,3
193,1348137,MA,5
194,1345451,CT,3
195,1337548,NY,14
196,1326516,CA,23
197,1289086,OK,3
198,1283084,OH,9
199,1273941,WV,2
200,1270043,CA,24
201,1266426,MN,4
202,1264557,TX,14
203,1256975,PA,10
204,1246611,MI,8
205,1245189,NY,15
206,1244199,IN,5
207,1239822,FL,11
208,1223468,LA,4
209,1221728,UT,2
210,1218182,CA,25
211,1215511,NC,6
212,1208694,IL,10
213,1195640,NJ,7
214,1188269,GA,6
215,1177238,TX,15
216,1172774,AL,4
217,1170392,CA,26
218,1165032,OR,3
219,1164768,NY,16
220,1148848,MO,5
221,1147625,OH,10
222,1137961,IA,3
223,1136976,PA,11
224,1134985,VA,6
225,1131797,FL,12
226,1126210,CA,27
227,1120493,NE,2
228,1101206,TX,16
229,1100749,MA,6
230,1099408,MI,9
231,1097182,WI,5
232,1094922,TN,5
233,1094109,NY,17
234,1093305,IL,11
235,1092977,WA,5
236,1085243,CA,28
237,1076060,NM,2
238,1073004,MD,5
239,1067800,KY,4
240,1061743,AZ,4
241,1055911,MS,3
242,1047152,CA,29
243,1041102,FL,13
244,1038066,OH,11
245,1037913,PA,12
246,1035455,NJ,8
247,1034403,TX,17
248,1031536,NY,18
249,1027295,NC,7
250,1015884,IN,6
251,1014742,KS,3
252,1012010,SC,4
253,1011645,CA,30
254,1004271,GA,7
255,998047,IL,12
256,983340,MI,10
257,980970,MN,5
258,978468,CA,31
259,975735,NY,19
260,975244,TX,18
261,964380,AR,3
262,963873,FL,14
263,959237,VA,7
264,954912,CO,4
265,954741,PA,13
266,951378,CT,4
267,947694,LA,5
268,947620,OH,12
269,947397,CA,32
270,938030,MO,6
271,930303,MA,7
272,925664,NY,20
273,922489,TX,19
274,918239,CA,33
275,918069,IL,13
276,913185,NJ,9
277,911522,OK,4
278,908427,AL,5
279,897317,FL,15
280,895845,WI,6
281,894000,TN,6
282,892412,WA,6
283,890823,CA,34
284,889663,NC,8
285,889465,MI,11
286,883918,PA,14
287,880482,NY,21
288,876105,MD,6
289,875150,TX,20
290,872020,ME,2
291,871684,OH,13
292,869724,GA,8
293,864997,CA,35
294,858579,IN,7
295,852878,NV,2
296,849967,IL,14
297,840626,CA,36
298,839506,NY,22
299,839363,FL,16
300,832433,TX,21
301,830724,VA,8
302,827115,KY,5
303,823802,OR,4
304,822883,PA,15
305,822422,AZ,5
306,817590,CA,37
307,816778,NJ,10
308,811966,MI,12
309,807022,OH,14
310,805666,MA,8
311,804660,IA,4
312,802176,NY,23
313,800958,MN,6
