XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,580372.571429,10,406260.800000,0.432013,2,0.146298,4,0.032013
AK,1,551947.000000,2,275973.500000,0.192064,0,0.192064,0,0.192064
AZ,6,612997.500000,9,408665.000000,0.394919,1,0.228253,4,0.049525
AR,4,590559.750000,6,393706.500000,0.499543,3,0.250457,3,0.000457
CA,52,573831.730769,71,420271.126761,0.552529,32,0.062856,39,0.003233
CO,6,551318.666667,8,413489.000000,0.435855,2,0.102522,3,0.060855
CT,6,549278.166667,8,411958.625000,0.539883,3,0.039883,4,0.039883
DE,1,668696.000000,2,334348.000000,0.312983,0,0.312983,1,0.187017
FL,23,565363.565217,31,419463.290323,0.464399,8,0.116573,14,0.012786
GA,11,591674.454545,16,406776.187500,0.399843,3,0.127116,6,0.024843
HI,2,557637.000000,3,371758.000000,0.666248,2,0.333752,2,0.000418
ID,2,505993.000000,3,337328.666667,0.297047,0,0.297047,1,0.036286
IL,20,573334.100000,27,424691.925926,0.537203,10,0.037203,15,0.018352
IN,10,556422.800000,13,428017.538462,0.455250,4,0.055250,6,0.006288
IA,5,557484.800000,7,398203.428571,0.423779,1,0.223779,3,0.004793
KS,4,621400.000000,6,414266.666667,0.377757,1,0.127757,2,0.044423
KY,6,616494.833333,9,410996.555556,0.395850,1,0.229183,4,0.048594
LA,7,605459.428571,10,423821.600000,0.390614,2,0.104899,4,0.009386
ME,2,616611.500000,3,411074.333333,0.675043,2,0.324957,2,0.008376
MD,8,599827.750000,11,436238.363636,0.553365,4,0.053365,6,0.007911
MA,10,602905.100000,14,430646.500000,0.744519,10,0.255481,10,0.030234
MI,16,583049.000000,22,424035.636364,0.548338,9,0.014162,12,0.002883
MN,8,548378.625000,10,438702.900000,0.535988,5,0.089012,5,0.035988
MS,5,517288.600000,6,431073.833333,0.510686,3,0.089314,3,0.010686
MO,9,570867.111111,12,428150.333333,0.498246,4,0.053802,6,0.001754
MT,1,803655.000000,2,401827.500000,0.473284,0,0.473284,1,0.026716
NE,3,528205.666667,4,396154.250000,0.267944,0,0.267944,1,0.017944
NV,2,603076.000000,3,402050.666667,0.404598,1,0.095402,1,0.071265
NH,2,556957.500000,3,371305.000000,0.440551,0,0.440551,1,0.107218
NJ,13,596048.769231,19,407822.842105,0.525386,7,0.013076,10,0.000930
NM,3,507259.666667,4,380444.750000,0.522500,1,0.189167,2,0.022500
NY,31,582080.806452,43,419639.651163,0.554490,19,0.058413,24,0.003650
NC,12,554802.500000,16,416101.875000,0.479194,5,0.062527,8,0.020806
ND,1,641364.000000,2,320682.000000,0.542960,1,0.457040,1,0.042960
OH,19,573017.105263,26,418743.269231,0.471306,8,0.050253,12,0.009768
OK,6,526267.333333,8,394700.500000,0.372795,1,0.206128,3,0.002205
OR,5,570746.600000,7,407676.142857,0.565571,4,0.234429,4,0.005857
PA,21,567843.333333,28,425882.500000,0.509517,10,0.033326,14,0.009517
RI,2,502992.000000,3,335328.000000,0.734322,2,0.265678,2,0.067655
SC,6,584284.500000,8,438213.375000,0.454962,2,0.121628,4,0.045038
SD,1,699999.000000,2,349999.500000,0.253135,0,0.253135,1,0.246865
TN,9,544071.222222,12,408053.416667,0.493788,4,0.049343,6,0.006212
TX,30,568660.166667,41,416092.804878,0.466550,17,0.100117,19,0.003135
UT,3,575928.000000,4,431946.000000,0.416705,1,0.083372,2,0.083295
VT,1,564964.000000,2,282482.000000,0.436342,0,,0,0.436342
VA,11,565142.545455,15,414437.866667,0.482889,3,0.182889,7,0.017111
WA,9,543104.555556,12,407328.416667,0.541378,6,0.125289,6,0.041378
WV,3,600541.666667,4,450406.250000,0.593277,2,0.073390,2,0.093277
WI,9,545193.888889,12,408895.416667,0.475277,5,0.080279,6,0.024723
WY,1,455975.000000,2,227987.500000,0.299468,0,0.299468,1,0.200532
