HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT,Vf,Sf,SKEW|D,SKEW|R,THRESHOLD,PARTY,GAP,SLACK
436,645684,UT,4,0.407446,0.333333,0.092554,0.157446,0.333333,DEM,1,11
437,644329,NY,30,0.538129,0.655172,0.128537,0.095204,0.100000,REP,1,11
438,643276,TX,33,0.451442,0.531250,0.094012,0.063709,0.100000,REP,2,12
439,642646,MI,16,0.505534,0.400000,0.068034,0.130534,0.100000,DEM,1,11
440,642025,IN,10,0.432447,0.333333,0.032447,0.132447,0.111111,DEM,1,11
441,640155,MT,2,0.335780,0.000000,0.164220,0.335780,1.000000,DEM,0,10
442,638109,IL,20,0.512267,0.473684,0.012267,0.062267,0.100000,DEM,0,10
443,637934,MS,5,0.485842,0.500000,0.114158,0.085842,0.250000,REP,0,10
444,634248,CA,54,0.536326,0.622642,0.093304,0.074786,0.100000,REP,1,11
445,633003,WI,9,0.432244,0.500000,0.123311,0.012200,0.125000,REP,1,11
446,631491,OK,6,0.417495,0.200000,0.084161,0.250828,0.200000,DEM,1,11
447,631011,PA,20,0.420415,0.368421,0.020415,0.070415,0.100000,DEM,0,10
448,628705,FL,26,0.415610,0.280000,0.107918,0.146380,0.100000,DEM,0,10
449,625963,OR,6,0.561332,0.800000,0.272001,0.105335,0.200000,REP,0,10
450,625540,MD,9,0.545662,0.750000,0.232116,0.121005,0.125000,REP,1,11
451,624841,KY,7,0.335882,0.333333,0.092690,0.050168,0.166667,REP,1,11
452,624455,NJ,14,0.524499,0.538462,0.046930,0.024499,0.100000,REP,2,12
453,624069,TX,34,0.451442,0.515152,0.077970,0.048558,0.100000,REP,2,12
454,623198,NY,31,0.538129,0.633333,0.107032,0.074774,0.100000,REP,2,13
455,622830,WA,10,0.538105,0.666667,0.161895,0.061895,0.111111,REP,3,13
456,622610,CA,55,0.536326,0.611111,0.081856,0.063674,0.100000,REP,3,14
457,622493,CT,6,0.522079,0.400000,0.022079,0.188745,0.200000,DEM,3,13
458,621080,SC,7,0.377332,0.333333,0.051239,0.091618,0.166667,DEM,2,13
459,618037,VA,12,0.315495,0.272727,0.017839,0.065495,0.100000,DEM,2,12
460,615065,OH,19,0.428562,0.333333,0.060141,0.112772,0.100000,DEM,1,12
461,611391,CA,56,0.536326,0.600000,0.070817,0.052960,0.100000,REP,2,12
462,608341,GA,14,0.424351,0.384615,0.004220,0.067208,0.100000,DEM,1,12
463,606963,IL,21,0.512267,0.500000,0.011543,0.036076,0.100000,DEM,1,11
464,605980,MA,11,0.840316,1.000000,0.159684,0.068775,0.100000,REP,1,12
465,605977,TX,35,0.451442,0.500000,0.062843,0.034272,0.100000,REP,2,12
466,605835,AZ,9,0.409109,0.250000,0.075776,0.186887,0.125000,DEM,1,12
467,604971,FL,27,0.415610,0.307692,0.082277,0.119314,0.100000,DEM,1,11
468,603661,MI,17,0.505534,0.437500,0.034945,0.093769,0.100000,DEM,0,11
469,603408,NY,32,0.538129,0.612903,0.086871,0.055621,0.100000,REP,1,11
470,602357,KS,5,0.326547,0.250000,0.073453,0.126547,0.250000,DEM,0,11
471,600837,TN,10,0.478993,0.555556,0.121007,0.021007,0.111111,REP,1,11
472,600569,CA,57,0.536326,0.589286,0.060166,0.042622,0.100000,REP,1,12
473,600211,PA,21,0.420415,0.400000,0.008156,0.039463,0.100000,DEM,0,11
474,599207,AR,5,0.580159,0.750000,0.219841,0.019841,0.250000,REP,1,12
475,598701,LA,8,0.369108,0.285714,0.005892,0.119108,0.142857,DEM,0,11
476,598016,NC,14,0.445334,0.461538,0.054666,0.016762,0.100000,REP,1,12
477,596144,AL,8,0.421992,0.285714,0.046992,0.171992,0.142857,DEM,0,11
478,590952,MO,10,0.456826,0.444444,0.043174,0.056826,0.111111,DEM,0,11
479,590123,CA,58,0.536326,0.578947,0.049881,0.032640,0.100000,REP,0,11
480,588903,TX,36,0.451442,0.485714,0.048558,0.020780,0.100000,REP,1,12
481,584838,NY,33,0.538129,0.593750,0.067931,0.037628,0.100000,REP,1,12
482,583502,OH,20,0.428562,0.368421,0.028562,0.078562,0.100000,DEM,1,12
483,582965,FL,28,0.415610,0.333333,0.058468,0.094182,0.100000,DEM,0,11
484,581336,NJ,15,0.524499,0.500000,0.008834,0.057832,0.100000,DEM,0,11
485,580733,IN,11,0.432447,0.400000,0.022098,0.068811,0.100000,DEM,-1,10
486,580496,MN,9,0.516051,0.500000,0.039504,0.071607,0.125000,DEM,-1,10
487,580035,CA,59,0.536326,0.568966,0.039946,0.022997,0.100000,REP,-1,10
488,578717,IL,22,0.512267,0.523810,0.033188,0.012267,0.100000,REP,0,11
489,577937,NV,4,0.362427,0.333333,0.137573,0.112427,0.333333,REP,0,11
490,576199,CO,8,0.439091,0.285714,0.064091,0.189091,0.142857,DEM,0,11
491,572766,TX,37,0.451442,0.472222,0.035044,0.008017,0.100000,REP,0,11
492,572279,PA,22,0.420415,0.428571,0.034130,0.011324,0.100000,REP,1,12
493,570286,CA,60,0.536326,0.559322,0.030341,0.013674,0.100000,REP,1,12
494,569137,MI,18,0.505534,0.470588,0.005534,0.061089,0.100000,DEM,0,12
495,568511,VA,13,0.315495,0.333333,0.069121,0.007802,0.100000,REP,1,12
496,567376,NY,34,0.538129,0.575758,0.050106,0.020694,0.100000,REP,1,13
497,566335,GA,15,0.424351,0.428571,0.042315,0.024351,0.100000,REP,2,13
498,566175,WI,10,0.432244,0.444444,0.067756,0.032244,0.111111,REP,2,14
499,563371,WA,11,0.538105,0.600000,0.098259,0.007349,0.100000,REP,3,14
500,562504,FL,29,0.415610,0.357143,0.036300,0.070783,0.100000,DEM,2,14
501,560859,CA,61,0.536326,0.550000,0.021052,0.004658,0.100000,REP,3,14
502,559500,MD,10,0.545662,0.666667,0.154338,0.054338,0.111111,REP,3,15
503,557489,TX,38,0.451442,0.459459,0.022242,0.004074,0.100000,REP,4,15
504,556722,NC,15,0.445334,0.428571,0.021333,0.045334,0.100000,DEM,3,15
505,555127,DE,2,0.270420,0.000000,0.229580,0.270420,1.000000,DEM,3,14
506,555021,OH,21,0.428562,0.400000,0.000010,0.047609,0.100000,DEM,2,14
507,553181,MA,12,0.840316,0.909091,0.076351,0.006983,0.100000,REP,3,14
508,552983,IL,23,0.512267,0.500000,0.009472,0.034006,0.100000,DEM,2,14
509,551739,CA,62,0.536326,0.540984,0.012062,0.004067,0.100000,REP,3,14
510,550927,NY,35,0.538129,0.558824,0.033299,0.004728,0.100000,REP,3,15
511,546831,PA,23,0.420415,0.409091,0.014367,0.029111,0.100000,DEM,3,14
512,543790,NJ,16,0.524499,0.533333,0.038001,0.024499,0.100000,REP,3,15
513,543477,TN,11,0.478993,0.500000,0.066462,0.024447,0.100000,REP,4,15
514,543430,FL,30,0.415610,0.379310,0.015610,0.048944,0.100000,DEM,3,15
515,543007,TX,39,0.451442,0.447368,0.010096,0.015545,0.100000,DEM,2,14
516,542910,CA,63,0.536326,0.532258,0.003357,0.012516,0.100000,DEM,2,14
517,541876,AZ,10,0.409109,0.333333,0.009109,0.109109,0.111111,DEM,1,13
518,541128,KY,8,0.335882,0.285714,0.039118,0.085882,0.142857,DEM,1,13
519,538350,MI,19,0.505534,0.500000,0.020782,0.031850,0.100000,DEM,0,12
520,537871,SC,8,0.377332,0.428571,0.122668,0.002332,0.142857,REP,1,13
521,535404,NY,36,0.538129,0.542857,0.017426,0.010351,0.100000,REP,1,13
522,535293,IA,6,0.453581,0.200000,0.120248,0.286914,0.200000,DEM,1,13
523,535191,SD,2,0.460321,0.000000,0.039679,0.460321,1.000000,DEM,0,12
524,534536,MO,11,0.456826,0.500000,0.088628,0.002281,0.100000,REP,1,13
525,534360,CA,64,0.536326,0.539683,0.010549,0.005076,0.100000,REP,1,13
526,533707,OK,7,0.417495,0.333333,0.011077,0.131781,0.166667,DEM,1,13
527,530135,IN,12,0.432447,0.454545,0.067553,0.015781,0.100000,REP,1,13
528,529758,GA,16,0.424351,0.400000,0.013149,0.049351,0.100000,DEM,1,13
529,529610,ID,3,0.350007,0.000000,0.016674,0.350007,0.500000,DEM,0,12
530,529441,IL,24,0.512267,0.521739,0.029400,0.012267,0.100000,REP,1,13
531,529257,TX,40,0.451442,0.461538,0.023558,0.001442,0.100000,REP,1,13
532,529191,OH,22,0.428562,0.428571,0.025984,0.019471,0.100000,REP,2,14
533,529036,OR,7,0.561332,0.666667,0.152954,0.010096,0.166667,REP,2,14
534,528005,LA,9,0.369108,0.375000,0.075336,0.035775,0.125000,REP,3,15
535,526492,NM,4,0.599139,0.333333,0.099139,0.349139,0.333333,DEM,2,14
536,526339,VA,14,0.315495,0.307692,0.041648,0.029780,0.100000,REP,2,15
537,526103,CT,7,0.522079,0.500000,0.049350,0.093507,0.166667,DEM,2,14
538,526075,CA,65,0.536326,0.531250,0.002136,0.013249,0.100000,DEM,1,14
539,525749,AL,9,0.421992,0.375000,0.022453,0.088658,0.125000,DEM,1,13
540,525608,FL,31,0.415610,0.400000,0.003744,0.028514,0.100000,DEM,0,13
541,523551,PA,24,0.420415,0.434783,0.037918,0.003749,0.100000,REP,1,13
542,523390,WV,4,0.660923,0.666667,0.089077,0.160923,0.333333,DEM,0,13
543,521631,ME,3,0.584530,1.000000,0.415470,0.082137,0.500000,REP,1,13
544,520871,MS,6,0.485842,0.400000,0.014158,0.152508,0.200000,DEM,0,13
545,520766,NC,16,0.445334,0.466667,0.054666,0.007834,0.100000,REP,1,13
546,520733,NY,37,0.538129,0.527778,0.002411,0.024616,0.100000,DEM,0,13
547,519211,MN,10,0.516051,0.555556,0.083949,0.016051,0.111111,REP,1,13
548,518043,CA,66,0.536326,0.538462,0.009129,0.006022,0.100000,REP,1,14
549,516187,TX,41,0.451442,0.450000,0.011972,0.012418,0.100000,DEM,1,13
550,514285,WA,12,0.538105,0.545455,0.045228,0.038105,0.100000,REP,1,14
551,512125,WI,11,0.432244,0.400000,0.022301,0.068608,0.100000,DEM,1,13
552,510801,NJ,17,0.524499,0.500000,0.004913,0.053911,0.100000,DEM,0,13
553,510723,MI,20,0.505534,0.526316,0.044466,0.005534,0.100000,REP,1,13
554,510252,CA,67,0.536326,0.530303,0.000988,0.013937,0.100000,DEM,0,13
555,508918,FL,32,0.415610,0.419355,0.021890,0.009360,0.100000,REP,0,13
556,508853,MA,13,0.840316,0.833333,0.005838,0.071085,0.100000,DEM,0,13
557,508160,CO,9,0.439091,0.375000,0.005353,0.105758,0.125000,DEM,-1,12
558,507822,IL,25,0.512267,0.500000,0.007733,0.032267,0.100000,DEM,-1,12
559,506844,NY,38,0.538129,0.540541,0.014502,0.011813,0.100000,REP,-1,12
560,506087,MD,11,0.545662,0.600000,0.090702,0.000208,0.100000,REP,0,13
561,505660,OH,23,0.428562,0.409091,0.006221,0.037257,0.100000,DEM,-1,12
562,505581,NH,3,0.408415,0.000000,0.075081,0.408415,0.500000,DEM,-1,12
563,503747,TX,42,0.451442,0.463415,0.024748,0.000939,0.100000,REP,-1,12
564,502692,CA,68,0.536326,0.537313,0.007792,0.006914,0.100000,REP,0,13
565,502173,PA,25,0.420415,0.416667,0.019585,0.020415,0.100000,DEM,-1,12
566,500144,UT,5,0.407446,0.500000,0.192554,0.007446,0.250000,REP,0,13
567,497621,GA,17,0.424351,0.437500,0.046237,0.012587,0.100000,REP,0,13
568,496692,HI,3,0.665672,1.000000,0.334328,0.000995,0.500000,REP,1,14
569,496125,TN,12,0.478993,0.454545,0.021007,0.062326,0.100000,DEM,0,13
570,495353,CA,69,0.536326,0.529412,0.000094,0.014586,0.100000,DEM,0,13
571,495184,NE,4,0.108005,0.000000,0.141995,0.108005,0.333333,REP,0,13
572,493677,NY,39,0.538129,0.526316,0.000332,0.025309,0.100000,DEM,0,13
573,493255,FL,33,0.415610,0.406250,0.008632,0.021671,0.100000,DEM,-1,12
574,491893,TX,43,0.451442,0.452381,0.013674,0.009582,0.100000,REP,0,13
575,491823,KS,6,0.326547,0.400000,0.173453,0.006786,0.200000,REP,0,13
576,490145,AZ,11,0.409109,0.400000,0.045437,0.045473,0.100000,DEM,-1,13
577,489995,VA,15,0.315495,0.285714,0.017839,0.048828,0.100000,DEM,-1,12
578,489250,AR,6,0.580159,0.600000,0.086508,0.080159,0.200000,REP,-1,13
579,489175,NC,17,0.445334,0.437500,0.025254,0.033569,0.100000,DEM,-1,12
580,488226,CA,70,0.536326,0.536232,0.006532,0.007754,0.100000,DEM,-2,12
581,487962,MO,12,0.456826,0.454545,0.043174,0.040160,0.100000,REP,-1,12
582,487899,IL,26,0.512267,0.520000,0.026195,0.012267,0.100000,REP,-1,13
583,487653,IN,13,0.432447,0.416667,0.029091,0.047832,0.100000,DEM,-1,12
584,485795,MI,21,0.505534,0.500000,0.018276,0.029343,0.100000,DEM,-2,12
585,484133,OH,24,0.428562,0.434783,0.029772,0.011895,0.100000,REP,-1,12
586,482472,PA,26,0.420415,0.440000,0.041123,0.002662,0.100000,REP,-1,13
587,481588,NJ,18,0.524499,0.529412,0.031057,0.024499,0.100000,REP,0,13
588,481300,CA,71,0.536326,0.542857,0.012970,0.001114,0.100000,REP,0,14
589,481177,NY,40,0.538129,0.538462,0.011871,0.013129,0.100000,DEM,0,13
590,480583,TX,44,0.451442,0.441860,0.003103,0.019624,0.100000,DEM,-1,13
591,478528,FL,34,0.415610,0.424242,0.025566,0.003846,0.100000,REP,0,13
592,477230,KY,9,0.335882,0.375000,0.108563,0.002549,0.125000,REP,0,14
593,474568,CA,72,0.536326,0.535211,0.005341,0.008548,0.100000,DEM,0,13
594,474358,SC,9,0.377332,0.375000,0.067112,0.043999,0.125000,REP,0,14
595,473073,WA,13,0.538105,0.500000,0.000356,0.076567,0.100000,DEM,0,13
596,472262,LA,10,0.369108,0.333333,0.030892,0.069108,0.111111,DEM,-1,13
597,471106,MA,14,0.840316,0.846154,0.016827,0.054602,0.100000,DEM,-2,12
598,470244,AL,10,0.421992,0.444444,0.078008,0.021992,0.111111,REP,-1,13
599,469782,TX,45,0.451442,0.454545,0.015224,0.006998,0.100000,REP,-1,13
600,469644,MN,11,0.516051,0.500000,0.029403,0.061506,0.100000,DEM,-1,13
