HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT,PARTY,GAP
436,645684,UT,4,DEM,12
437,644329,NY,30,REP,12
438,643276,TX,33,DEM,12
439,642646,MI,16,DEM,11
440,642025,IN,10,DEM,11
441,640155,MT,2,DEM,10
442,638109,IL,20,DEM,10
443,637934,MS,5,REP,10
444,634248,CA,54,REP,11
445,633003,WI,9,REP,11
446,631491,OK,6,DEM,11
447,631011,PA,20,DEM,10
448,628705,FL,26,DEM,10
449,625963,OR,6,REP,10
450,625540,MD,9,REP,11
451,624841,KY,7,DEM,10
452,624455,NJ,14,DEM,10
453,624069,TX,34,DEM,9
454,623198,NY,31,REP,10
455,622830,WA,10,REP,10
456,622610,CA,55,REP,11
457,622493,CT,6,DEM,10
458,621080,SC,7,DEM,10
459,618037,VA,12,DEM,9
460,615065,OH,19,DEM,9
461,611391,CA,56,REP,9
462,608341,GA,14,REP,10
463,606963,IL,21,REP,10
464,605980,MA,11,REP,11
465,605977,TX,35,DEM,10
466,605835,AZ,9,DEM,10
467,604971,FL,27,DEM,9
468,603661,MI,17,DEM,9
469,603408,NY,32,REP,9
470,602357,KS,5,DEM,9
471,600837,TN,10,REP,9
472,600569,CA,57,REP,10
473,600211,PA,21,DEM,9
474,599207,AR,5,REP,10
475,598701,LA,8,DEM,9
476,598016,NC,14,DEM,9
477,596144,AL,8,DEM,8
478,590952,MO,10,DEM,8
479,590123,CA,58,REP,8
480,588903,TX,36,DEM,8
481,584838,NY,33,REP,8
482,583502,OH,20,DEM,8
483,582965,FL,28,DEM,7
484,581336,NJ,15,DEM,7
485,580733,IN,11,DEM,6
486,580496,MN,9,DEM,6
487,580035,CA,59,REP,6
488,578717,IL,22,DEM,6
489,577937,NV,4,DEM,5
490,576199,CO,8,DEM,5
491,572766,TX,37,DEM,4
492,572279,PA,22,DEM,4
493,570286,CA,60,REP,4
494,569137,MI,18,DEM,4
495,568511,VA,13,DEM,3
496,567376,NY,34,DEM,3
497,566335,GA,15,DEM,2
498,566175,WI,10,DEM,1
499,563371,WA,11,REP,2
500,562504,FL,29,DEM,1
501,560859,CA,61,DEM,1
502,559500,MD,10,REP,1
503,557489,TX,38,REP,2
504,556722,NC,15,REP,2
505,555127,DE,2,DEM,2
506,555021,OH,21,DEM,1
507,553181,MA,12,REP,2
508,552983,IL,23,REP,2
509,551739,CA,62,REP,3
510,550927,NY,35,REP,3
511,546831,PA,23,DEM,3
512,543790,NJ,16,REP,3
513,543477,TN,11,REP,4
514,543430,FL,30,DEM,3
515,543007,TX,39,DEM,3
516,542910,CA,63,DEM,2
517,541876,AZ,10,DEM,2
518,541128,KY,8,DEM,1
519,538350,MI,19,REP,2
520,537871,SC,8,REP,2
521,535404,NY,36,DEM,2
522,535293,IA,6,DEM,1
523,535191,SD,2,REP,2
524,534536,MO,11,REP,2
525,534360,CA,64,REP,3
526,533707,OK,7,DEM,2
527,530135,IN,12,DEM,2
528,529758,GA,16,REP,2
529,529610,ID,3,DEM,2
530,529441,IL,24,DEM,1
531,529257,TX,40,REP,2
532,529191,OH,22,DEM,1
533,529036,OR,7,REP,2
534,528005,LA,9,REP,2
535,526492,NM,4,DEM,2
536,526339,VA,14,DEM,1
537,526103,CT,7,DEM,1
538,526075,CA,65,DEM,0
