XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.432230,2,0.146516,637304.285714,10,3,0.132230,446113.000000
AK,1,0.239302,0,0.239302,628933.000000,1,0,0.239302,628933.000000
AZ,8,0.403278,2,0.153278,642585.375000,11,3,0.130551,467334.818182
AR,4,0.583036,3,0.166964,669933.250000,6,3,0.083036,446622.166667
CA,53,0.552631,33,0.070011,640203.735849,72,44,0.058481,471261.083333
CO,7,0.500868,3,0.072296,615983.142857,9,3,0.167534,479098.000000
CT,5,0.555031,2,0.155031,681907.000000,7,3,0.126460,487076.428571
DE,1,0.300591,0,0.300591,785068.000000,2,0,0.300591,392534.000000
FL,25,0.426733,7,0.146733,641155.600000,34,15,0.014443,471437.941176
GA,13,0.437756,6,0.023783,631305.769231,17,10,0.150480,482763.235294
HI,2,0.638232,2,0.361768,608321.000000,3,2,0.028434,405547.333333
ID,2,0.298833,0,0.298833,648637.000000,3,0,0.298833,432424.666667
IL,19,0.531241,10,0.004925,654686.421053,26,15,0.045682,478424.692308
IN,9,0.419645,2,0.197422,676753.555556,13,5,0.035029,468521.692308
IA,5,0.431584,1,0.231584,586384.600000,6,2,0.098251,488653.833333
KS,4,0.403561,1,0.153561,673456.000000,6,2,0.070227,448970.666667
KY,6,0.397795,1,0.231128,674905.166667,9,3,0.064462,449936.777778
LA,7,0.368509,2,0.082795,640038.714286,10,4,0.031491,448027.100000
ME,2,0.596331,2,0.403669,638865.500000,3,2,0.070335,425910.333333
MD,8,0.593918,6,0.156082,663485.750000,11,7,0.042445,482535.090909
MA,10,0.699403,10,0.300597,635556.800000,14,12,0.157740,453969.142857
MI,15,0.494906,6,0.094906,663721.933333,21,7,0.161573,474087.095238
MN,8,0.531022,4,0.031022,615708.750000,11,4,0.167386,447788.181818
MS,4,0.445563,2,0.054437,713231.750000,6,4,0.221104,475487.833333
MO,9,0.454795,4,0.010351,622917.777778,12,6,0.045205,467188.333333
MT,1,0.337299,0,0.337299,905316.000000,2,1,0.162701,452658.000000
NE,3,0.309323,0,0.309323,571789.666667,4,1,0.059323,428842.250000
NV,3,0.442489,1,0.109155,667344.000000,4,2,0.057511,500508.000000
NH,2,0.380758,0,0.380758,619207.500000,3,0,0.380758,412805.000000
NJ,13,0.523204,6,0.061666,648027.230769,18,10,0.032352,468019.666667
NM,3,0.518241,1,0.184907,607940.333333,4,1,0.268241,455955.250000
NY,29,0.608812,20,0.080844,655343.896552,40,26,0.041188,475124.325000
NC,13,0.489266,6,0.027728,620590.230769,17,8,0.018678,474569.000000
ND,1,0.595630,1,0.404370,643756.000000,1,1,0.404370,643756.000000
OH,18,0.469497,6,0.136164,631918.888889,24,11,0.011164,473939.166667
OK,5,0.392973,1,0.192973,691763.800000,7,3,0.035598,494117.000000
OR,5,0.555492,4,0.244508,685708.600000,7,4,0.015936,489791.857143
PA,19,0.493302,7,0.124881,647403.684211,26,10,0.108686,473102.692308
RI,2,0.712042,2,0.287958,524831.000000,2,2,0.287958,524831.000000
SC,6,0.415173,2,0.081839,670843.500000,9,4,0.029272,447229.000000
SD,1,0.537519,1,0.462481,756874.000000,2,1,0.037519,378437.000000
TN,9,0.493618,5,0.061938,633337.444444,12,7,0.089715,475003.083333
TX,32,0.427344,11,0.083594,653249.812500,45,17,0.049566,464533.200000
UT,3,0.409995,1,0.076661,745571.333333,5,2,0.009995,447342.800000
VT,1,0.225981,0,0.225981,609890.000000,1,0,0.225981,609890.000000
VA,11,0.418331,3,0.145603,645518.363636,15,7,0.048336,473380.133333
WA,9,0.594899,6,0.071768,656520.444444,13,9,0.097409,454514.153846
WV,3,0.578193,2,0.088473,604359.000000,4,3,0.171807,453269.250000
WI,8,0.481112,4,0.018888,671401.250000,11,5,0.026566,488291.818182
WY,1,0.430809,0,0.430809,495304.000000,1,0,0.430809,495304.000000
