XX,ANY,REP,DEM
AL,7,0,1
AK,1,0,0
AZ,8,0,2
AR,4,1,0
CA,53,9,3
CO,7,0,1
CT,5,0,2
DE,1,0,1
FL,25,0,5
GA,13,2,1
HI,2,0,0
ID,2,0,1
IL,19,2,3
IN,9,0,3
IA,5,0,1
KS,4,0,1
KY,6,0,2
LA,7,1,1
ME,2,0,0
MD,8,2,0
MA,10,2,0
MI,15,1,3
MN,8,0,1
MS,4,1,0
MO,9,1,1
MT,1,0,1
NE,3,0,0
NV,3,0,1
NH,2,0,0
NJ,13,1,2
NM,3,0,1
NY,29,5,2
NC,13,1,1
ND,1,0,0
OH,18,0,4
OK,5,0,2
OR,5,2,0
PA,19,0,4
RI,2,0,0
SC,6,1,1
SD,1,1,0
TN,9,2,0
TX,32,2,6
UT,3,0,1
VT,1,0,0
VA,11,0,3
WA,9,2,0
WV,3,0,0
WI,8,1,1
WY,1,0,0
