XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.555533,5,0.158752,637304.285714,10,7,0.144467,446113.000000
AK,1,0.585746,1,0.414254,628933.000000,1,1,0.414254,628933.000000
AZ,8,0.551479,4,0.051479,642585.375000,11,6,0.006024,467334.818182
AR,4,0.401622,1,0.151622,669933.250000,6,2,0.068289,446622.166667
CA,53,0.412518,19,0.054027,640203.735849,72,24,0.079184,471261.083333
CO,7,0.428250,3,0.000321,615983.142857,9,3,0.094917,479098.000000
CT,5,0.392958,1,0.192958,681907.000000,7,2,0.107244,487076.428571
DE,1,0.595941,1,0.404059,785068.000000,2,1,0.095941,392534.000000
FL,25,0.577041,16,0.062959,641155.600000,34,19,0.018218,471437.941176
GA,13,0.549731,7,0.011269,631305.769231,17,11,0.097328,482763.235294
HI,2,0.349567,0,0.349567,608321.000000,3,0,0.349567,405547.333333
ID,2,0.583117,2,0.416883,648637.000000,3,2,0.083550,432424.666667
IL,19,0.420689,8,0.000363,654686.421053,26,12,0.040849,478424.692308
IN,9,0.505875,4,0.061431,676753.555556,13,4,0.198183,468521.692308
IA,5,0.514503,2,0.114503,586384.600000,6,2,0.181170,488653.833333
KS,4,0.554364,2,0.054364,673456.000000,6,2,0.221030,448970.666667
KY,6,0.504144,4,0.162523,674905.166667,9,4,0.059699,449936.777778
LA,7,0.652097,4,0.080669,640038.714286,10,5,0.152097,448027.100000
ME,2,0.317512,0,0.317512,638865.500000,3,1,0.015821,425910.333333
MD,8,0.332176,2,0.082176,663485.750000,11,3,0.059449,482535.090909
MA,10,0.108446,0,0.108446,635556.800000,14,1,0.037018,453969.142857
MI,15,0.457921,9,0.142079,663721.933333,21,10,0.018269,474087.095238
MN,8,0.445124,3,0.070124,615708.750000,11,6,0.100331,447788.181818
MS,4,0.538944,2,0.038944,713231.750000,6,2,0.205610,475487.833333
MO,9,0.513981,5,0.041574,622917.777778,12,7,0.069352,467188.333333
MT,1,0.600754,1,0.399246,905316.000000,2,1,0.100754,452658.000000
NE,3,0.560618,3,0.439382,571789.666667,4,4,0.439382,428842.250000
NV,3,0.474861,3,0.525139,667344.000000,4,4,0.525139,500508.000000
NH,2,0.475167,0,0.475167,619207.500000,3,0,0.475167,412805.000000
NJ,13,0.427851,6,0.033687,648027.230769,18,10,0.127704,468019.666667
NM,3,0.441690,2,0.224977,607940.333333,4,2,0.058310,455955.250000
NY,29,0.313787,6,0.106891,655343.896552,40,12,0.013787,475124.325000
NC,13,0.470883,6,0.009344,620590.230769,17,9,0.058529,474569.000000
ND,1,0.343198,0,0.343198,643756.000000,1,0,0.343198,643756.000000
OH,18,0.473262,11,0.137849,631918.888889,24,17,0.235072,473939.166667
OK,5,0.581454,4,0.218546,691763.800000,7,5,0.132832,494117.000000
OR,5,0.421274,1,0.221274,685708.600000,7,2,0.135560,489791.857143
PA,19,0.437276,8,0.016224,647403.684211,26,12,0.024262,473102.692308
RI,2,0.136369,0,0.136369,524831.000000,2,0,0.136369,524831.000000
SC,6,0.559168,4,0.107499,670843.500000,9,5,0.003613,447229.000000
SD,1,0.298064,0,0.298064,756874.000000,2,0,0.298064,378437.000000
TN,9,0.481536,4,0.037092,633337.444444,12,7,0.101797,475003.083333
TX,32,0.533552,20,0.091448,653249.812500,45,26,0.044226,464533.200000
UT,3,0.544485,2,0.122181,745571.333333,5,2,0.144485,447342.800000
VT,1,0.455630,0,0.455630,609890.000000,1,0,0.455630,609890.000000
VA,11,0.563525,8,0.163747,645518.363636,15,9,0.036475,473380.133333
WA,9,0.390777,3,0.057443,656520.444444,13,5,0.006161,454514.153846
WV,3,0.419808,1,0.086475,604359.000000,4,1,0.169808,453269.250000
WI,8,0.509034,3,0.134034,671401.250000,11,4,0.145397,488291.818182
WY,1,0.502725,1,0.497275,495304.000000,1,1,0.497275,495304.000000
