XX,n,POWER,n',POWER'
AL,7,718579.000000,9,558894.777778
AK,1,736081.000000,2,368040.500000
AZ,9,795435.888889,13,550686.384615
AR,4,753439.000000,5,602751.200000
CA,52,761091.480769,71,557419.112676
CO,8,722771.375000,10,578217.100000
CT,5,721659.600000,6,601383.000000
DE,1,990837.000000,2,495418.500000
FL,28,770375.964286,39,553090.435897
GA,14,766091.000000,19,564488.105263
HI,2,730068.500000,3,486712.333333
ID,2,920688.500000,3,613792.333333
IL,17,754278.764706,23,557510.391304
IN,9,754475.555556,12,565856.666667
IA,4,798101.500000,6,532067.666667
KS,4,735216.250000,5,588173.000000
KY,6,751557.000000,8,563667.750000
LA,6,776911.333333,8,582683.500000
ME,2,681791.000000,3,454527.333333
MD,8,773159.750000,11,562298.000000
MA,9,781496.555556,13,541036.076923
MI,13,775726.307692,18,560246.777778
MN,8,713719.000000,10,570975.200000
MS,4,740978.500000,5,592782.800000
MO,8,770035.125000,11,560025.545455
MT,2,542703.500000,3,361802.333333
NE,3,654444.333333,4,490833.250000
NV,4,777115.500000,6,518077.000000
NH,2,689544.500000,3,459696.333333
NJ,12,774541.083333,17,546734.882353
NM,3,706740.000000,4,530055.000000
NY,26,777528.884615,36,561548.638889
NC,14,746710.571429,19,550207.789474
ND,1,779702.000000,2,389851.000000
OH,15,787256.533333,21,562326.095238
OK,5,792703.200000,7,566216.571429
OR,6,706916.666667,8,530187.500000
PA,17,765402.588235,23,565732.347826
RI,2,549081.500000,3,366054.333333
SC,7,732101.714286,9,569412.444444
SD,1,887770.000000,2,443885.000000
TN,9,768544.111111,12,576408.083333
TX,38,767981.315789,52,561217.115385
UT,4,818813.000000,6,545875.333333
VT,1,643503.000000,2,321751.500000
VA,11,786776.545455,16,540908.875000
WA,10,771594.600000,14,551139.000000
WV,2,897522.500000,3,598348.333333
WI,8,737184.125000,11,536133.909091
WY,1,577719.000000,2,288859.500000
