XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.380751,1,0.237894,686140.285714,8,1,0.255751,600372.750000
AK,1,0.417197,0,0.417197,721523.000000,1,0,0.417197,721523.000000
AZ,9,0.465830,4,0.021386,712522.222222,10,5,0.034170,641270.000000
AR,4,0.320782,0,0.320782,731557.250000,5,1,0.120782,585245.800000
CA,53,0.615493,39,0.120356,704565.830189,58,43,0.125886,643827.396552
CO,7,0.495137,3,0.066565,720704.285714,8,4,0.004863,630616.250000
CT,5,0.621579,5,0.378421,716325.600000,6,6,0.378421,596938.000000
DE,1,0.575462,1,0.424538,900877.000000,1,1,0.424538,900877.000000
FL,27,0.466186,11,0.058778,700028.629630,30,14,0.000481,630025.766667
GA,14,0.443298,4,0.157584,694826.142857,15,5,0.109965,648504.400000
HI,2,0.786942,2,0.213058,683431.000000,2,2,0.213058,683431.000000
ID,2,0.318325,0,0.318325,786749.500000,3,1,0.015008,524499.666667
IL,18,0.543859,11,0.067252,714687.777778,20,13,0.106141,643219.000000
IN,9,0.407794,2,0.185572,722398.000000,10,3,0.107794,650158.200000
IA,4,0.453204,1,0.203204,763446.750000,5,2,0.053204,610757.400000
KS,4,0.356724,0,0.356724,715953.250000,5,0,0.356724,572762.600000
KY,6,0.365480,1,0.198814,725101.000000,7,2,0.079766,621515.142857
LA,6,0.329872,1,0.163205,758993.666667,7,2,0.044158,650566.000000
ME,2,0.519608,1,0.019608,666537.000000,2,1,0.019608,666537.000000
MD,8,0.629722,7,0.245278,723741.125000,9,8,0.259167,643325.444444
MA,9,0.694162,9,0.305838,728849.333333,10,10,0.305838,655964.400000
MI,14,0.494431,5,0.137288,707973.285714,16,7,0.056931,619476.625000
MN,8,0.573434,5,0.051566,664359.875000,8,5,0.051566,664359.875000
MS,4,0.397889,1,0.147889,744560.000000,5,2,0.002111,595648.000000
MO,8,0.394161,2,0.144161,751434.750000,9,3,0.060828,667942.000000
MT,1,0.419150,0,0.419150,994416.000000,2,1,0.080850,497208.000000
NE,3,0.363368,0,0.363368,610608.333333,3,0,0.363368,610608.333333
NV,4,0.504974,3,0.245026,677358.000000,4,3,0.245026,677358.000000
NH,2,0.515672,2,0.484328,660722.500000,2,2,0.484328,660722.500000
NJ,12,0.541625,7,0.041709,733958.416667,14,9,0.101232,629107.214286
NM,3,0.560129,2,0.106538,689091.000000,3,2,0.106538,689091.000000
NY,27,0.624668,18,0.041999,719298.333333,30,21,0.075332,647368.500000
NC,13,0.466812,3,0.236043,735829.307692,15,5,0.133479,637718.733333
ND,1,0.434028,0,0.434028,675905.000000,1,0,0.434028,675905.000000
OH,16,0.418310,4,0.168310,723030.937500,18,6,0.084977,642694.166667
OK,5,0.284782,0,0.284782,752976.400000,6,1,0.118115,627480.333333
OR,5,0.547517,4,0.252483,769721.200000,6,5,0.285816,641434.333333
PA,18,0.471663,5,0.193886,707494.722222,20,7,0.121663,636745.250000
RI,2,0.651023,2,0.348977,527623.500000,2,2,0.348977,527623.500000
SC,7,0.394668,1,0.251811,663710.714286,7,1,0.251811,663710.714286
SD,1,0.358972,0,0.358972,819761.000000,1,0,0.358972,819761.000000
TN,9,0.352777,2,0.130555,708381.222222,10,3,0.052777,637543.100000
TX,36,0.434248,11,0.128692,701900.500000,39,14,0.075273,647908.153846
UT,4,0.333939,0,0.333939,692691.250000,4,0,0.333939,692691.250000
VT,1,1.000000,1,0.000000,630337.000000,1,1,0.000000,630337.000000
VA,11,0.488212,4,0.124576,730703.272727,13,5,0.103597,618287.384615
WA,10,0.539312,6,0.060688,675336.900000,11,7,0.097052,613942.636364
WV,3,0.335266,0,0.335266,619938.333333,3,0,0.335266,619938.333333
WI,8,0.487819,3,0.112819,712278.750000,9,4,0.043374,633136.666667
WY,1,0.325787,0,0.325787,568300.000000,1,0,0.325787,568300.000000
