HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT,Vf,Sf,SKEW|D,SKEW|R,THRESHOLD,PARTY,GAP
436,709063,NC,14,0.488968,0.230769,0.203253,0.274682,0.100000,DEM,1
437,708459,MO,9,0.435775,0.250000,0.102442,0.213553,0.125000,DEM,0
438,706337,NY,28,0.696381,0.777778,0.089334,0.053619,0.100000,DEM,0
439,705164,NJ,13,0.607701,0.916667,0.315376,0.238453,0.100000,DEM,-1
440,703158,MT,2,0.476143,0.000000,0.023857,0.476143,1.000000,REP,0
441,702692,LA,7,0.398290,0.166667,0.112575,0.255432,0.166667,DEM,0
442,702656,OR,6,0.601727,0.800000,0.231606,0.064940,0.200000,DEM,-1
443,701443,OH,17,0.476149,0.250000,0.182031,0.240855,0.100000,REP,0
444,699595,VA,12,0.569962,0.636364,0.096704,0.013371,0.100000,DEM,-1
445,698012,CA,54,0.668437,0.867925,0.201933,0.183415,0.100000,REP,0
446,695626,IL,19,0.611158,0.722222,0.125684,0.073052,0.100000,DEM,-1
447,692350,TX,37,0.482311,0.361111,0.103932,0.130959,0.100000,REP,0
448,691447,MA,10,0.796050,1.000000,0.203950,0.103950,0.111111,DEM,-1
449,688625,PA,19,0.551475,0.500000,0.025159,0.077791,0.100000,REP,0
450,687414,FL,28,0.473635,0.481481,0.026365,0.009350,0.100000,DEM,-1
451,687370,OK,6,0.369679,0.200000,0.036346,0.203013,0.200000,REP,0
452,685327,IN,10,0.444870,0.222222,0.144870,0.244870,0.111111,DEM,0
453,685203,CA,55,0.668437,0.851852,0.186108,0.167926,0.100000,DEM,-1
454,683967,MI,15,0.539909,0.500000,0.006576,0.073242,0.100000,REP,0
455,682848,IA,5,0.520492,0.750000,0.279508,0.079508,0.250000,DEM,-1
456,682350,MD,9,0.669242,0.875000,0.219647,0.108536,0.125000,REP,0
457,681545,NY,29,0.696381,0.785714,0.096723,0.062240,0.100000,DEM,-1
458,675958,AZ,10,0.508614,0.555556,0.091386,0.008614,0.111111,REP,0
459,674157,CO,8,0.554363,0.571429,0.070637,0.054363,0.142857,DEM,-1
460,673884,TX,38,0.482311,0.351351,0.113890,0.140206,0.100000,REP,0
461,672856,CA,56,0.668437,0.854545,0.188706,0.170849,0.100000,DEM,-1
462,672029,TN,10,0.398122,0.222222,0.098122,0.198122,0.111111,REP,0
463,671543,WI,9,0.538286,0.375000,0.093842,0.204953,0.125000,DEM,0
464,671313,KY,7,0.395908,0.166667,0.110194,0.253051,0.166667,DEM,-1
465,671266,GA,15,0.477283,0.357143,0.077283,0.143950,0.100000,REP,0
466,665955,MS,5,0.458392,0.250000,0.058392,0.258392,0.250000,DEM,-1
467,663287,FL,29,0.473635,0.500000,0.043606,0.009123,0.100000,REP,0
468,661327,OH,18,0.476149,0.235294,0.198371,0.253927,0.100000,DEM,-1
469,660946,CA,57,0.668437,0.857143,0.191212,0.173668,0.100000,REP,0
470,660102,NC,15,0.488968,0.285714,0.155634,0.222301,0.100000,DEM,-1
471,659929,IL,20,0.611158,0.736842,0.138842,0.088842,0.100000,REP,0
472,658435,NY,30,0.696381,0.793103,0.103619,0.070286,0.100000,DEM,-1
473,656378,TX,39,0.482311,0.342105,0.123336,0.148977,0.100000,REP,0
474,654325,AR,5,0.360027,0.000000,0.160027,0.360027,0.250000,DEM,-1
475,653913,CT,6,0.612083,1.000000,0.387917,0.221250,0.200000,REP,0
476,653287,PA,20,0.551475,0.473684,0.051475,0.101475,0.100000,DEM,0
477,652855,NJ,14,0.607701,0.923077,0.320871,0.249442,0.100000,DEM,-1
478,649450,CA,58,0.668437,0.842105,0.176390,0.159149,0.100000,REP,0
479,643908,WA,11,0.677319,0.700000,0.049954,0.040955,0.100000,DEM,-1
480,643534,VA,13,0.569962,0.666667,0.122345,0.045422,0.100000,REP,0
481,642378,ID,3,0.360341,0.000000,0.027008,0.360341,0.500000,DEM,-1
482,641825,AL,8,0.410226,0.142857,0.160226,0.285226,0.142857,REP,0
483,640796,FL,30,0.473635,0.482759,0.026365,0.006969,0.100000,DEM,-1
484,640368,KS,5,0.451921,0.250000,0.051921,0.251921,0.250000,REP,0
485,639793,MI,16,0.539909,0.466667,0.039909,0.102409,0.100000,DEM,-1
486,639758,TX,40,0.482311,0.333333,0.132311,0.157311,0.100000,REP,0
487,638348,CA,59,0.668437,0.827586,0.162071,0.145122,0.100000,DEM,0
488,637016,DE,2,0.644540,1.000000,0.355460,0.144540,1.000000,DEM,-1
489,636841,NY,31,0.696381,0.800000,0.110071,0.077813,0.100000,REP,0
490,633665,MO,10,0.435775,0.333333,0.035775,0.135775,0.111111,DEM,-1
491,627912,GA,16,0.477283,0.333333,0.102283,0.164783,0.100000,REP,0
492,627717,IL,21,0.611158,0.700000,0.103127,0.055508,0.100000,DEM,-1
493,627619,CA,60,0.668437,0.830508,0.164896,0.148229,0.100000,REP,0
494,626364,MN,9,0.557973,0.625000,0.108693,0.002418,0.125000,DEM,-1
495,625553,OH,19,0.476149,0.277778,0.160360,0.212991,0.100000,REP,0
496,625438,MA,11,0.796050,1.000000,0.203950,0.113041,0.100000,DEM,-1
497,623959,TX,41,0.482311,0.325000,0.140847,0.165238,0.100000,REP,0
498,621400,PA,21,0.551475,0.500000,0.027666,0.075285,0.100000,DEM,0
499,620845,SC,8,0.449831,0.285714,0.074831,0.199831,0.142857,DEM,-1
500,619902,IN,11,0.444870,0.300000,0.081234,0.172143,0.100000,REP,0
501,619781,FL,31,0.473635,0.500000,0.042494,0.010236,0.100000,DEM,-1
502,619562,UT,5,0.377285,0.250000,0.022715,0.177285,0.250000,REP,0
503,617469,NC,16,0.488968,0.333333,0.113968,0.176468,0.100000,DEM,-1
504,617244,CA,61,0.668437,0.816667,0.151235,0.134841,0.100000,REP,0
505,616619,NY,32,0.696381,0.774194,0.084869,0.053619,0.100000,DEM,-1
506,611427,AZ,11,0.508614,0.500000,0.036841,0.054069,0.100000,REP,0
507,610312,MD,10,0.669242,0.777778,0.130758,0.030758,0.111111,DEM,-1
508,608922,TX,42,0.482311,0.317073,0.148977,0.172787,0.100000,REP,0
509,608549,LA,8,0.398290,0.285714,0.023290,0.148290,0.142857,DEM,0
510,607873,TN,11,0.398122,0.200000,0.125395,0.216304,0.100000,DEM,-1
511,607775,NJ,15,0.607701,0.928571,0.325633,0.258966,0.100000,REP,0
512,607207,CA,62,0.668437,0.803279,0.138014,0.121885,0.100000,DEM,-1
513,605847,NV,5,0.527683,0.750000,0.272317,0.072317,0.250000,REP,0
514,600981,MI,17,0.539909,0.500000,0.010497,0.069321,0.100000,DEM,-1
515,600646,WI,10,0.538286,0.444444,0.038286,0.138286,0.111111,REP,0
516,600100,FL,32,0.473635,0.516129,0.057615,0.026365,0.100000,DEM,-1
517,598505,IL,22,0.611158,0.714286,0.116114,0.070660,0.100000,REP,0
518,597642,NY,33,0.696381,0.781250,0.091498,0.061195,0.100000,DEM,-1
519,597491,CA,63,0.668437,0.806452,0.141087,0.125214,0.100000,REP,0
520,596770,NM,4,0.604172,1.000000,0.395828,0.145828,0.333333,DEM,0
521,595797,VA,14,0.569962,0.615385,0.072895,0.001466,0.100000,DEM,-1
522,594592,TX,43,0.482311,0.309524,0.156729,0.179985,0.100000,REP,0
523,594551,CO,9,0.554363,0.625000,0.112304,0.001193,0.125000,DEM,-1
524,593853,OR,7,0.601727,0.833333,0.255416,0.112559,0.166667,REP,0
525,593451,OH,20,0.476149,0.263158,0.176149,0.226149,0.100000,DEM,-1
526,592481,PA,22,0.551475,0.523810,0.006021,0.051475,0.100000,REP,0
527,589820,GA,17,0.477283,0.312500,0.124342,0.183166,0.100000,DEM,-1
528,588081,CA,64,0.668437,0.793651,0.128438,0.112813,0.100000,REP,0
529,587805,WA,12,0.677319,0.727273,0.072681,0.010652,0.100000,DEM,-1
530,581631,FL,33,0.473635,0.531250,0.071819,0.041516,0.100000,REP,0
531,581374,KY,8,0.395908,0.285714,0.020908,0.145908,0.142857,DEM,0
532,580934,OK,7,0.369679,0.166667,0.083965,0.226822,0.166667,DEM,-1
533,580922,TX,44,0.482311,0.302326,0.164129,0.186856,0.100000,REP,0
534,580011,NC,17,0.488968,0.375000,0.077203,0.136027,0.100000,DEM,-1
535,579798,NY,34,0.696381,0.787879,0.097737,0.068325,0.100000,REP,0
536,579659,SD,2,0.373873,0.000000,0.126127,0.373873,1.000000,DEM,-1
537,578963,CA,65,0.668437,0.781250,0.116178,0.100794,0.100000,REP,0
538,573172,MO,11,0.435775,0.400000,0.018770,0.072139,0.100000,DEM,-1
539,571891,IL,23,0.611158,0.681818,0.084494,0.041016,0.100000,REP,0
540,570944,MA,12,0.796050,1.000000,0.203950,0.120616,0.100000,DEM,-1
541,570123,CA,66,0.668437,0.769231,0.104290,0.089139,0.100000,REP,0
542,568522,NJ,16,0.607701,0.866667,0.267299,0.204799,0.100000,DEM,0
543,567865,TX,45,0.482311,0.295455,0.171200,0.193422,0.100000,DEM,-1
544,566610,MI,18,0.539909,0.529412,0.015647,0.039909,0.100000,REP,0
545,566136,PA,23,0.551475,0.500000,0.029736,0.073214,0.100000,DEM,-1
546,566037,AL,9,0.410226,0.125000,0.188003,0.299114,0.125000,REP,0
547,565890,IN,12,0.444870,0.272727,0.111537,0.194870,0.100000,DEM,-1
548,564485,OH,21,0.476149,0.300000,0.142816,0.190435,0.100000,REP,0
549,564265,FL,34,0.473635,0.515152,0.055776,0.026365,0.100000,DEM,-1
550,562988,NY,35,0.696381,0.764706,0.075048,0.046477,0.100000,REP,0
551,561550,CA,67,0.668437,0.757576,0.092757,0.077831,0.100000,DEM,-1
552,560237,MN,10,0.557973,0.666667,0.142027,0.042027,0.111111,REP,0
553,558154,AZ,12,0.508614,0.454545,0.008614,0.091947,0.100000,DEM,-1
554,558019,HI,3,0.767239,1.000000,0.232761,0.100572,0.500000,REP,0
555,557543,IA,6,0.520492,0.800000,0.312841,0.146174,0.200000,DEM,0
556,556088,GA,18,0.477283,0.352941,0.088394,0.143950,0.100000,DEM,-1
557,555383,TX,46,0.482311,0.311111,0.156224,0.177963,0.100000,REP,0
558,554910,TN,12,0.398122,0.272727,0.064789,0.148122,0.100000,DEM,-1
559,554656,VA,15,0.569962,0.642857,0.096704,0.030038,0.100000,REP,0
560,553230,CA,68,0.668437,0.761194,0.096269,0.081563,0.100000,DEM,-1
561,552657,CT,7,0.612083,0.833333,0.245060,0.102202,0.166667,REP,0
562,552048,MD,11,0.669242,0.800000,0.148940,0.058031,0.100000,DEM,-1
563,547906,FL,35,0.473635,0.529412,0.069222,0.040650,0.100000,REP,0
564,547544,IL,24,0.611158,0.652174,0.055508,0.013842,0.100000,DEM,-1
565,547533,SC,9,0.449831,0.375000,0.005386,0.116497,0.125000,REP,0
566,547126,NY,36,0.696381,0.742857,0.053619,0.025842,0.100000,DEM,0
567,546839,NC,18,0.488968,0.411765,0.044523,0.100079,0.100000,DEM,-1
568,545153,CA,69,0.668437,0.764706,0.099679,0.085186,0.100000,REP,0
569,544225,ME,3,0.578750,1.000000,0.421250,0.087917,0.500000,DEM,-1
570,543750,MS,6,0.458392,0.400000,0.041608,0.125059,0.200000,REP,0
571,543438,TX,47,0.482311,0.304348,0.163162,0.184438,0.100000,DEM,-1
572,543305,WI,11,0.538286,0.400000,0.083741,0.174650,0.100000,REP,0
573,542034,PA,24,0.551475,0.521739,0.009809,0.051475,0.100000,DEM,-1
574,540702,WA,13,0.677319,0.750000,0.091912,0.014989,0.100000,REP,0
575,539478,NH,3,0.555563,1.000000,0.444437,0.111104,0.500000,DEM,-1
576,538215,OH,22,0.476149,0.285714,0.157967,0.203422,0.100000,REP,0
577,537309,CA,70,0.668437,0.753623,0.088706,0.074420,0.100000,DEM,0
578,536882,WV,4,0.410289,0.000000,0.160289,0.410289,0.333333,DEM,-1
579,536690,LA,9,0.398290,0.375000,0.046155,0.064956,0.125000,REP,0
580,535959,MI,19,0.539909,0.500000,0.013593,0.066225,0.100000,DEM,-1
581,534254,AR,6,0.360027,0.200000,0.026694,0.193361,0.200000,REP,0
582,534033,NJ,17,0.607701,0.875000,0.274652,0.215829,0.100000,DEM,-1
583,532469,FL,36,0.473635,0.514286,0.054142,0.026365,0.100000,REP,0
584,532134,NY,37,0.696381,0.750000,0.060376,0.033349,0.100000,DEM,-1
585,531996,TX,48,0.482311,0.319149,0.148977,0.169811,0.100000,REP,0
586,531782,CO,10,0.554363,0.666667,0.145637,0.045637,0.111111,DEM,-1
587,529687,CA,71,0.668437,0.757143,0.092126,0.078042,0.100000,REP,0
588,528802,NE,4,0.379708,0.000000,0.129708,0.379708,0.333333,DEM,0
589,526007,GA,19,0.477283,0.388889,0.056231,0.108862,0.100000,DEM,-1
590,525192,MA,13,0.796050,1.000000,0.203950,0.127027,0.100000,REP,0
591,525186,IL,25,0.611158,0.666667,0.068842,0.028842,0.100000,DEM,-1
592,523232,MO,12,0.435775,0.454545,0.064225,0.019108,0.100000,REP,0
593,522858,KS,6,0.451921,0.200000,0.118587,0.285254,0.200000,DEM,-1
594,522278,CA,72,0.668437,0.746479,0.081563,0.067674,0.100000,REP,0
595,521026,TX,49,0.482311,0.312500,0.155780,0.176188,0.100000,DEM,-1
596,520543,IN,13,0.444870,0.333333,0.060255,0.137178,0.100000,REP,0
597,519900,PA,25,0.551475,0.541667,0.008525,0.031475,0.100000,DEM,-1
598,518834,VA,16,0.569962,0.600000,0.055038,0.007462,0.100000,REP,0
599,517941,NY,38,0.696381,0.756757,0.066777,0.040461,0.100000,DEM,0
600,517878,FL,37,0.473635,0.500000,0.039878,0.012851,0.100000,DEM,-1
