HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT,Vf,Sf,SKEW|D,SKEW|R,THRESHOLD,PARTY,GAP,SLACK
436,709063,NC,14,0.489230,0.384615,0.060658,0.132087,0.100000,DEM,-2,-4
437,708459,MO,9,0.404726,0.250000,0.071393,0.182504,0.125000,DEM,-3,-5
438,706337,NY,28,0.620713,0.703704,0.093573,0.057858,0.100000,REP,-2,-4
439,705164,NJ,13,0.579422,0.833333,0.266732,0.189809,0.100000,REP,-2,-4
440,703158,MT,2,0.436136,0.000000,0.063864,0.436136,1.000000,REP,-1,-3
441,702692,LA,7,0.383410,0.166667,0.097696,0.240553,0.166667,DEM,-1,-4
442,702656,OR,6,0.570723,0.800000,0.262611,0.095944,0.200000,REP,-1,-3
443,701443,OH,17,0.429757,0.250000,0.135639,0.194463,0.100000,DEM,-1,-4
444,699595,VA,12,0.535670,0.636364,0.130997,0.047664,0.100000,REP,-1,-3
445,698012,CA,54,0.631950,0.792453,0.164346,0.145828,0.100000,REP,0,-3
446,695626,IL,19,0.574752,0.722222,0.162090,0.109459,0.100000,DEM,-1,-3
447,692350,TX,37,0.452416,0.361111,0.074038,0.101065,0.100000,REP,0,-3
448,691447,MA,10,0.494571,1.000000,0.505429,0.405429,0.111111,DEM,-1,-3
449,688625,PA,19,0.493666,0.500000,0.032650,0.019982,0.100000,REP,0,-3
450,687414,FL,28,0.481218,0.407407,0.052646,0.088361,0.100000,DEM,-1,-3
451,687370,OK,6,0.313000,0.000000,0.146334,0.313000,0.200000,REP,0,-3
452,685327,IN,10,0.407309,0.222222,0.107309,0.207309,0.111111,DEM,-1,-3
453,685203,CA,55,0.631950,0.777778,0.149868,0.131686,0.100000,REP,0,-3
454,683967,MI,15,0.506657,0.500000,0.026677,0.039990,0.100000,DEM,-1,-3
455,682848,IA,5,0.470048,0.250000,0.070048,0.270048,0.250000,REP,0,-3
456,682350,MD,9,0.650395,0.875000,0.238494,0.127383,0.125000,DEM,-1,-3
457,681545,NY,29,0.620713,0.678571,0.068942,0.034459,0.100000,REP,0,-3
458,675958,AZ,10,0.498593,0.555556,0.101407,0.001407,0.111111,DEM,-1,-3
459,674157,CO,8,0.549194,0.571429,0.075806,0.049194,0.142857,REP,0,-3
460,673884,TX,38,0.452416,0.351351,0.083995,0.110311,0.100000,DEM,-1,-3
461,672856,CA,56,0.631950,0.763636,0.135907,0.118050,0.100000,REP,0,-3
462,672029,TN,10,0.381370,0.222222,0.081370,0.181370,0.111111,DEM,-1,-3
463,671543,WI,9,0.485327,0.375000,0.040883,0.151994,0.125000,REP,0,-3
464,671313,KY,7,0.350302,0.166667,0.064588,0.207445,0.166667,DEM,-1,-3
465,671266,GA,15,0.490037,0.428571,0.023370,0.090037,0.100000,REP,0,-3
466,665955,MS,5,0.396783,0.250000,0.003217,0.196783,0.250000,DEM,-1,-3
467,663287,FL,29,0.481218,0.428571,0.032942,0.067425,0.100000,REP,0,-3
468,661327,OH,18,0.429757,0.294118,0.096424,0.151979,0.100000,DEM,-1,-3
469,660946,CA,57,0.631950,0.750000,0.122436,0.104892,0.100000,REP,0,-3
470,660102,NC,15,0.489230,0.428571,0.022563,0.089230,0.100000,DEM,-1,-3
471,659929,IL,20,0.574752,0.736842,0.175248,0.125248,0.100000,REP,0,-3
