XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.396193,2,0.110478,637304.285714,10,4,0.003807,446113.000000
AK,1,0.239302,0,0.239302,628933.000000,1,0,0.239302,628933.000000
AZ,8,0.346368,2,0.096368,642585.375000,11,4,0.017268,467334.818182
AR,4,0.543699,3,0.206301,669933.250000,6,3,0.043699,446622.166667
CA,53,0.552995,33,0.069646,640203.735849,72,40,0.002560,471261.083333
CO,7,0.500868,3,0.072296,615983.142857,9,5,0.054688,479098.000000
CT,5,0.555031,2,0.155031,681907.000000,7,4,0.016397,487076.428571
DE,1,0.300591,0,0.300591,785068.000000,2,1,0.199409,392534.000000
FL,25,0.399941,7,0.119941,641155.600000,34,14,0.011823,471437.941176
GA,13,0.385339,6,0.076199,631305.769231,17,7,0.026425,482763.235294
HI,2,0.638232,2,0.361768,608321.000000,3,2,0.028434,405547.333333
ID,2,0.298833,0,0.298833,648637.000000,3,1,0.034500,432424.666667
IL,19,0.540793,10,0.014477,654686.421053,26,14,0.002331,478424.692308
IN,9,0.419645,2,0.197422,676753.555556,13,5,0.035029,468521.692308
IA,5,0.431584,1,0.231584,586384.600000,6,2,0.098251,488653.833333
KS,4,0.348382,1,0.098382,673456.000000,6,2,0.015049,448970.666667
KY,6,0.371780,1,0.205114,674905.166667,9,3,0.038447,449936.777778
LA,7,0.379927,2,0.094213,640038.714286,10,4,0.020073,448027.100000
ME,2,0.596331,2,0.403669,638865.500000,3,2,0.070335,425910.333333
MD,8,0.593918,6,0.156082,663485.750000,11,7,0.042445,482535.090909
MA,10,0.825571,10,0.174429,635556.800000,14,12,0.031572,453969.142857
MI,15,0.494906,6,0.094906,663721.933333,21,10,0.018716,474087.095238
MN,8,0.531022,4,0.031022,615708.750000,11,6,0.014433,447788.181818
MS,4,0.336898,2,0.163102,713231.750000,6,2,0.003565,475487.833333
MO,9,0.454795,4,0.010351,622917.777778,12,5,0.038129,467188.333333
MT,1,0.337299,0,0.337299,905316.000000,2,1,0.162701,452658.000000
NE,3,0.309323,0,0.309323,571789.666667,4,1,0.059323,428842.250000
NV,3,0.442489,1,0.109155,667344.000000,4,2,0.057511,500508.000000
NH,2,0.380758,0,0.380758,619207.500000,3,1,0.047424,412805.000000
NJ,13,0.531922,6,0.070383,648027.230769,18,10,0.023634,468019.666667
NM,3,0.518241,1,0.184907,607940.333333,4,2,0.018241,455955.250000
NY,29,0.610108,20,0.079547,655343.896552,40,24,0.010108,475124.325000
NC,13,0.489266,6,0.027728,620590.230769,17,8,0.018678,474569.000000
ND,1,0.595630,1,0.404370,643756.000000,1,1,0.404370,643756.000000
OH,18,0.486881,6,0.153548,631918.888889,24,12,0.013119,473939.166667
OK,5,0.307761,1,0.107761,691763.800000,7,2,0.022047,494117.000000
OR,5,0.555492,4,0.244508,685708.600000,7,4,0.015936,489791.857143
PA,19,0.491391,7,0.122970,647403.684211,26,13,0.008609,473102.692308
RI,2,0.712042,2,0.287958,524831.000000,2,2,0.287958,524831.000000
SC,6,0.347573,2,0.014239,670843.500000,9,3,0.014239,447229.000000
SD,1,0.537519,1,0.462481,756874.000000,2,1,0.037519,378437.000000
TN,9,0.470617,5,0.084939,633337.444444,12,6,0.029383,475003.083333
TX,32,0.403474,11,0.059724,653249.812500,45,18,0.003474,464533.200000
UT,3,0.409995,1,0.076661,745571.333333,5,2,0.009995,447342.800000
VT,1,0.225981,0,0.225981,609890.000000,1,0,0.225981,609890.000000
VA,11,0.360200,3,0.087473,645518.363636,15,5,0.026867,473380.133333
WA,9,0.594899,6,0.071768,656520.444444,13,8,0.020486,454514.153846
WV,3,0.578193,2,0.088473,604359.000000,4,2,0.078193,453269.250000
WI,8,0.497766,4,0.002234,671401.250000,11,5,0.043221,488291.818182
WY,1,0.430809,0,0.430809,495304.000000,1,0,0.430809,495304.000000
