Year,V_D_%,N_T,N_I,N_R,N_D,N_D_%,L_T,L_I,L_R,L_D,L_D_%,O_T,O_I,O_R,O_D,O_D_%
1972,0.5124663262179652,435,1,191,243,0.5599078341013825,166,0,91,75,0.45180722891566266,601,1,282,318,0.53
1974,0.5736054408274334,435,0,145,290,0.6666666666666666,166,0,108,58,0.3493975903614458,601,0,253,348,0.5790349417637272
1976,0.5579080639724432,435,0,147,288,0.6620689655172414,166,0,109,57,0.3433734939759036,601,0,256,345,0.5740432612312812
1978,0.535548988551099,435,0,159,276,0.6344827586206897,166,0,116,50,0.30120481927710846,601,0,275,326,0.5424292845257903
1980,0.5024793580253166,435,1,192,242,0.5576036866359447,166,0,100,66,0.39759036144578314,601,1,292,308,0.5133333333333333
1982,0.5469667569345794,435,0,167,268,0.6160919540229886,166,0,106,60,0.3614457831325301,601,0,273,328,0.5457570715474209
1984,0.5068663292714007,435,0,182,253,0.5816091954022988,166,0,112,54,0.3253012048192771,601,0,294,307,0.5108153078202995
1986,0.5374789377399938,435,0,178,257,0.5908045977011495,166,0,95,71,0.42771084337349397,601,0,273,328,0.5457570715474209
1988,0.5272362259263849,435,0,176,259,0.5954022988505747,166,0,107,59,0.35542168674698793,601,0,283,318,0.5291181364392679
1990,0.5359037998045186,435,1,166,268,0.6175115207373272,166,0,108,58,0.3493975903614458,601,1,274,326,0.5433333333333333
1992,0.5284329608602973,435,1,176,258,0.5944700460829493,166,0,103,63,0.3795180722891566,601,1,279,321,0.535
1994,0.46919765854104195,435,1,233,201,0.4631336405529954,166,0,85,81,0.4879518072289157,601,1,318,282,0.47
1996,0.49734570919695503,435,1,228,206,0.47465437788018433,166,0,74,92,0.5542168674698795,601,1,302,298,0.49666666666666665
1998,0.5001259060396325,435,1,222,212,0.48847926267281105,166,0,81,85,0.5120481927710844,601,1,303,297,0.495
2000,0.4991424808906981,435,2,222,211,0.48729792147806006,166,0,80,86,0.5180722891566265,601,2,302,297,0.4958263772954925
2002,0.4811721698707373,435,1,229,205,0.47235023041474655,166,0,84,82,0.4939759036144578,601,1,313,287,0.47833333333333333
2004,0.49311308033004014,435,1,232,202,0.46543778801843316,166,0,71,95,0.572289156626506,601,1,303,297,0.495
2006,0.5337849517869617,435,0,202,233,0.535632183908046,166,0,81,85,0.5120481927710844,601,0,283,318,0.5291181364392679
2008,0.5463422906862263,435,0,178,257,0.5908045977011495,166,0,94,72,0.43373493975903615,601,0,272,329,0.5474209650582362
2010,0.4719215329484138,435,0,242,193,0.4436781609195402,166,0,72,94,0.5662650602409639,601,0,314,287,0.47753743760399336
2012,0.5122632638044122,435,0,234,201,0.46206896551724136,166,0,61,105,0.6325301204819277,601,0,295,306,0.5091514143094842
2014,0.47457528203899113,435,0,247,188,0.432183908045977,166,0,71,95,0.572289156626506,601,0,318,283,0.47088186356073214
2016,0.4932728163887687,435,0,241,194,0.4459770114942529,166,0,66,100,0.6024096385542169,601,0,307,294,0.4891846921797005
2018,0.5371794898099547,435,0,200,235,0.5402298850574713,166,0,79,87,0.5240963855421686,601,0,279,322,0.5357737104825291
2020,0.5111259681337106,435,0,213,222,0.5103448275862069,166,0,84,82,0.4939759036144578,601,0,297,304,0.5058236272878536
2022,0.4899949758683583,435,0,222,213,0.4896551724137931,166,0,85,81,0.4879518072289157,601,0,307,294,0.4891846921797005
