XX,n,POWER,n',POWER'
AL,7,637304.285714,9,495681.111111
AK,1,628933.000000,2,314466.500000
AZ,8,642585.375000,11,467334.818182
AR,4,669933.250000,6,446622.166667
CA,53,640203.735849,72,471261.083333
CO,7,615983.142857,9,479098.000000
CT,5,681907.000000,7,487076.428571
DE,1,785068.000000,2,392534.000000
FL,25,641155.600000,34,471437.941176
GA,13,631305.769231,17,482763.235294
HI,2,608321.000000,3,405547.333333
ID,2,648637.000000,3,432424.666667
IL,19,654686.421053,26,478424.692308
IN,9,676753.555556,13,468521.692308
IA,5,586384.600000,6,488653.833333
KS,4,673456.000000,6,448970.666667
KY,6,674905.166667,9,449936.777778
LA,7,640038.714286,10,448027.100000
ME,2,638865.500000,3,425910.333333
MD,8,663485.750000,11,482535.090909
MA,10,635556.800000,13,488889.846154
MI,15,663721.933333,21,474087.095238
MN,8,615708.750000,10,492567.000000
MS,4,713231.750000,6,475487.833333
MO,9,622917.777778,12,467188.333333
MT,1,905316.000000,2,452658.000000
NE,3,571789.666667,4,428842.250000
NV,3,667344.000000,4,500508.000000
NH,2,619207.500000,3,412805.000000
NJ,13,648027.230769,18,468019.666667
NM,3,607940.333333,4,455955.250000
NY,29,655343.896552,40,475124.325000
NC,13,620590.230769,17,474569.000000
ND,1,643756.000000,2,321878.000000
OH,18,631918.888889,24,473939.166667
OK,5,691763.800000,7,494117.000000
OR,5,685708.600000,7,489791.857143
PA,19,647403.684211,26,473102.692308
RI,2,524831.000000,3,349887.333333
SC,6,670843.500000,9,447229.000000
SD,1,756874.000000,2,378437.000000
TN,9,633337.444444,12,475003.083333
TX,32,653249.812500,44,475090.772727
UT,3,745571.333333,5,447342.800000
VT,1,609890.000000,2,304945.000000
VA,11,645518.363636,15,473380.133333
WA,9,656520.444444,13,454514.153846
WV,3,604359.000000,4,453269.250000
WI,8,671401.250000,11,488291.818182
WY,1,495304.000000,2,247652.000000
