XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,580372.571429,10,406260.800000,0.430706,2,0.144992,4,0.030706
AK,1,551947.000000,1,551947.000000,0.192064,0,0.192064,0,0.192064
AZ,6,612997.500000,9,408665.000000,0.394919,1,0.228253,4,0.049525
AR,4,590559.750000,6,393706.500000,0.496355,3,0.253645,3,0.003645
CA,52,573831.730769,72,414434.027778,0.551985,32,0.063400,40,0.003571
CO,6,551318.666667,8,413489.000000,0.417483,2,0.084149,3,0.042483
CT,6,549278.166667,8,411958.625000,0.542075,3,0.042075,4,0.042075
DE,1,668696.000000,2,334348.000000,0.312983,0,0.312983,1,0.187017
FL,23,565363.565217,31,419463.290323,0.455485,8,0.107659,14,0.003872
GA,11,591674.454545,16,406776.187500,0.401141,3,0.128414,6,0.026141
HI,2,557637.000000,3,371758.000000,0.666248,2,0.333752,2,0.000418
ID,2,505993.000000,2,505993.000000,0.299674,0,0.299674,0,0.299674
IL,20,573334.100000,28,409524.357143,0.545151,10,0.045151,15,0.009437
IN,10,556422.800000,13,428017.538462,0.455250,4,0.055250,6,0.006288
IA,5,557484.800000,7,398203.428571,0.425666,1,0.225666,3,0.002905
KS,4,621400.000000,6,414266.666667,0.333525,1,0.083525,2,0.000192
KY,6,616494.833333,9,410996.555556,0.442068,1,0.275401,4,0.002377
LA,7,605459.428571,10,423821.600000,0.392999,2,0.107285,4,0.007001
ME,2,616611.500000,3,411074.333333,0.675043,2,0.324957,2,0.008376
MD,8,599827.750000,12,399885.166667,0.553365,4,0.053365,7,0.029968
MA,10,602905.100000,14,430646.500000,0.744151,10,0.255849,10,0.029866
MI,16,583049.000000,22,424035.636364,0.549266,9,0.013234,12,0.003811
MN,8,548378.625000,11,398820.818182,0.554057,5,0.070943,6,0.008603
MS,5,517288.600000,6,431073.833333,0.514107,3,0.085893,3,0.014107
MO,9,570867.111111,12,428150.333333,0.500065,4,0.055621,6,0.000065
MT,1,803655.000000,2,401827.500000,0.473284,0,0.473284,1,0.026716
NE,3,528205.666667,4,396154.250000,0.267944,0,0.267944,1,0.017944
NV,2,603076.000000,3,402050.666667,0.404598,1,0.095402,1,0.071265
NH,2,556957.500000,3,371305.000000,0.440551,0,0.440551,1,0.107218
NJ,13,596048.769231,19,407822.842105,0.525386,7,0.013076,10,0.000930
NM,3,507259.666667,4,380444.750000,0.522500,1,0.189167,2,0.022500
NY,31,582080.806452,43,419639.651163,0.573146,19,0.039757,25,0.008249
NC,12,554802.500000,16,416101.875000,0.471496,5,0.054829,8,0.028504
ND,1,641364.000000,2,320682.000000,0.542960,1,0.457040,1,0.042960
OH,19,573017.105263,26,418743.269231,0.475878,8,0.054825,12,0.014340
OK,6,526267.333333,8,394700.500000,0.360728,1,0.194062,3,0.014272
OR,5,570746.600000,7,407676.142857,0.565571,4,0.234429,4,0.005857
PA,21,567843.333333,29,411196.896552,0.505398,10,0.029208,15,0.011843
RI,2,502992.000000,2,502992.000000,0.734322,2,0.265678,2,0.265678
SC,6,584284.500000,8,438213.375000,0.444766,2,0.111433,4,0.055234
SD,1,699999.000000,2,349999.500000,0.253135,0,0.253135,1,0.246865
TN,9,544071.222222,12,408053.416667,0.550953,4,0.106508,7,0.032381
TX,30,568660.166667,41,416092.804878,0.489684,17,0.076982,20,0.001879
UT,3,575928.000000,4,431946.000000,0.416705,1,0.083372,2,0.083295
VT,1,564964.000000,1,564964.000000,0.223006,0,,0,
VA,11,565142.545455,15,414437.866667,0.493216,4,0.093216,7,0.006784
WA,9,543104.555556,12,407328.416667,0.535475,6,0.131191,6,0.035475
WV,3,600541.666667,4,450406.250000,0.633507,2,0.033160,3,0.116493
WI,9,545193.888889,12,408895.416667,0.475277,5,0.080279,6,0.024723
WY,1,455975.000000,1,455975.000000,0.299468,0,0.299468,0,0.299468
